               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084482,            0.022986,                   0,             0.44827,             0.45234,             0.40371,             0.11417,             0.05368,             0.01733,                   0,            0.070226,           0.0033083,           0.0033083
                   1,            0.059063,            0.017832,                   0,             0.85404,             0.73277,             0.83444,             0.39096,            0.052652,            0.011819,                   0,             0.04016,           0.0065759,           0.0065759
                   2,            0.050982,            0.014557,                   0,             0.63923,             0.93645,             0.72582,             0.22903,            0.049727,           0.0084591,                   0,            0.010028,           0.0097774,           0.0097774
                   3,            0.042086,            0.010768,                   0,             0.99245,             0.99813,             0.99403,             0.58733,            0.029299,           0.0070143,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.034837,           0.0083996,                   0,             0.99813,             0.99966,             0.99326,             0.68415,            0.024687,           0.0061017,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.030736,           0.0071046,                   0,             0.96905,             0.99506,             0.99178,             0.68062,            0.025212,           0.0054153,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.028616,           0.0064608,                   0,             0.99762,                   1,             0.99323,             0.65893,            0.023807,           0.0049365,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.026922,           0.0058951,                   0,             0.99533,                   1,             0.99438,             0.62681,            0.025065,            0.004896,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025818,           0.0055194,                   0,             0.99658,                   1,             0.99371,             0.75813,            0.017263,           0.0044052,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.024384,           0.0053968,                   0,             0.99552,                   1,             0.99327,             0.78308,            0.018079,           0.0043241,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.023592,           0.0051968,                   0,             0.99721,                   1,             0.99354,             0.73661,            0.018788,           0.0041717,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.022817,           0.0048503,                   0,             0.99615,                   1,             0.99399,              0.7848,             0.01853,           0.0039965,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.021588,           0.0048443,                   0,             0.99624,                   1,             0.99325,             0.79254,            0.016223,           0.0037293,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.02127,           0.0046069,                   0,              0.9979,                   1,             0.99347,             0.78919,            0.017608,           0.0039017,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.020798,           0.0045591,                   0,             0.99613,                   1,             0.99326,             0.80119,            0.016843,           0.0037427,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.020263,           0.0044957,                   0,              0.9979,                   1,             0.99392,             0.82216,            0.014599,           0.0037142,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.019393,           0.0043959,                   0,             0.99759,                   1,             0.99427,              0.8441,            0.014669,           0.0036913,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.018898,           0.0042584,                   0,             0.99711,                   1,             0.99429,             0.84756,            0.014374,           0.0035149,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.018186,           0.0040778,                   0,             0.99784,                   1,             0.99368,             0.81467,            0.015989,           0.0035388,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.018061,           0.0040518,                   0,             0.99793,                   1,             0.99448,             0.80116,            0.015334,           0.0034805,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.017806,           0.0040315,                   0,             0.99793,                   1,             0.99453,             0.83913,            0.014471,           0.0032517,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.01706,           0.0039202,                   0,             0.99799,                   1,             0.99343,             0.85059,            0.013505,           0.0032196,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.016754,           0.0038472,                   0,              0.9975,                   1,             0.99444,              0.8453,             0.01424,           0.0032947,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.016197,           0.0038446,                   0,             0.99746,                   1,             0.99364,             0.83907,            0.013757,           0.0032723,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.016186,           0.0037463,                   0,             0.99789,                   1,             0.99384,             0.83515,             0.01359,           0.0032094,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.015671,           0.0037948,                   0,              0.9979,                   1,             0.99347,             0.83688,            0.013264,           0.0031188,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.015115,           0.0036032,                   0,             0.99787,                   1,             0.99384,             0.84357,            0.013448,            0.003083,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.015359,           0.0037222,                   0,              0.9979,                   1,             0.99347,             0.84462,             0.01319,           0.0030782,                   0,            0.007426,            0.007426,            0.007426
